Alachua	34,135	39.80%	47,380	55.25%	3,228	3.76%	263	0.31%	751	0.88%	-13,245	-15.45%	85,757
Baker	5,611	68.80%	2,392	29.33%	53	0.65%	73	0.90%	26	0.32%	3,219	39.47%	8,155
Bay	38,682	65.70%	18,873	32.06%	830	1.41%	248	0.42%	243	0.41%	19,809	33.64%	58,876
Bradford	5,416	62.43%	3,075	35.45%	84	0.97%	65	0.75%	35	0.40%	2,341	26.98%	8,675
Brevard	115,253	52.75%	97,341	44.55%	4,471	2.05%	571	0.26%	852	0.39%	17,912	8.20%	218,488
Broward	177,939	30.93%	387,760	67.41%	7,105	1.24%	795	0.14%	1,640	0.29%	-209,821	-36.48%	575,239
Calhoun	2,873	55.52%	2,156	41.66%	39	0.75%	90	1.74%	17	0.33%	717	13.86%	5,175
Charlotte	35,428	52.96%	29,646	44.31%	1,462	2.19%	182	0.27%	182	0.27%	5,782	8.65%	66,900
Citrus	29,801	52.06%	25,531	44.60%	1,383	2.42%	270	0.47%	263	0.46%	4,270	7.46%	57,248
Clay	41,903	72.80%	14,668	25.48%	565	0.98%	186	0.32%	237	0.41%	27,235	47.32%	57,559
Collier	60,467	65.58%	29,939	32.47%	1,405	1.52%	122	0.13%	269	0.29%	30,528	33.11%	92,202
Columbia	10,968	59.24%	7,049	38.07%	258	1.39%	89	0.48%	150	0.81%	3,919	21.17%	18,514
DeSoto	4,256	54.48%	3,321	42.51%	157	2.01%	36	0.46%	42	0.54%	935	11.97%	7,812
Dixie	2,697	57.79%	1,827	39.15%	75	1.61%	29	0.62%	39	0.84%	870	18.64%	4,667
Duval	152,460	57.49%	108,039	40.74%	2,762	1.04%	653	0.25%	1,267	0.48%	44,421	16.75%	265,181
Escambia	73,171	62.62%	40,990	35.08%	1,733	1.48%	502	0.43%	460	0.39%	32,181	27.54%	116,856
Flagler	12,618	46.53%	13,897	51.25%	435	1.60%	83	0.31%	83	0.31%	-1,279	-4.72%	27,116
Franklin	2,454	52.83%	2,047	44.07%	85	1.83%	33	0.71%	26	0.56%	407	8.76%	4,645
Gadsden	4,770	32.38%	9,736	66.09%	139	0.94%	38	0.26%	48	0.33%	-4,966	-33.71%	14,731
Gilchrist	3,300	61.17%	1,910	35.40%	97	1.80%	29	0.54%	59	1.09%	1,390	25.77%	5,395
Glades	1,841	54.71%	1,442	42.85%	56	1.66%	9	0.27%	17	0.51%	399	11.86%	3,365
